category,name,title,description,creator,youtube_url,template_url,date_posted,resource_url,id
Marketing & Advertising Automation,AI Agent Blueprint,Give Me 28 Minutes and I'll Completely Change the Way You Build AI Agents,"Cole Medin demonstrates a comprehensive AI agent system using a free n8n workflow template. The blueprint divides the agent into 7 key nodes—LLM, tool, control, memory, guardrail, fallback, and user input—arranged as an interdependent graph. This system handles dynamic reasoning, error fallback, and human-in-loop approvals, while integrating external services like BrightData and AirTable for real-time data access. It offers a robust, modular approach to automating complex AI tasks.",Cole Medin,https://www.youtube.com/watch?v=TV8SyEuSMIA,https://drive.google.com/file/d/1fzLIcpW45xlkY6zVpDcs4Qk8wGPEWGF0/view?usp=drive_link  https://drive.google.com/file/d/1op5NDt8lE19Y_q1I_8226a72EkPwgBuN/view?usp=drive_link ,2025-05-12T00:00:33.000Z,https://github.com/brightdata/brightdata-mcp,TV8SyEuSMIA
Marketing & Advertising Automation,Faceless Shorts Workflow,This AI System Creates & Posts Faceless Shorts 24/7 (free n8n template),"This system automates the creation, rendering, and posting of AI-generated faceless shorts across YouTube, Instagram, and TikTok. It features AI agent prompt generation for scene creation, image processing via PI API, video assembly with Creatomate, data handling through Google Sheets, and scheduling via Blotato. Developed using n8n, Nate Herk provides a free template within his Skool community to get you started.",Nate Herk | AI Automation,https://www.youtube.com/watch?v=jkEEVYFzT1U,https://drive.google.com/file/d/1XwPsOnmdx-ZJ1whhRBrCzuPIx2KwOIjK/view?usp=drive_link,2025-05-11T14:30:19.000Z,https://www.skool.com/ai-automation-society/new-video-i-built-a-viral-shorts-machine-for-075-using-ai,jkEEVYFzT1U
Marketing & Advertising Automation,API Agents Workflow,APIs for AI Agents: The Only Beginner's Guide You'll Ever Need (n8n),"In this video, Nate Herk demonstrates how to build an AI agent workflow inside a no-code automation platform by integrating external APIs via HTTP requests. The tutorial explains in detail how to set up native integrations and manually configure HTTP requests using curl commands, JSON body parameters, and header authentication. It covers integration with services like Open Weather Map, Perplexity, and Tavi, clarifying error responses and best practices. Free resources for setting up this system are provided via his free community.",Nate Herk | AI Automation,https://www.youtube.com/watch?v=qZkX_gIlwsY,https://drive.google.com/file/d/1hXgATSqAxf_J62Qgm0XdkgQAm_jeE_R6/view?usp=drive_link,2025-05-10T14:12:06.000Z,https://www.skool.com/ai-automation-society/new-video-apis-for-ai-agents-the-only-beginners-guide-youll-ever-need-n8n,qZkX_gIlwsY
Marketing & Advertising Automation,24/7 AI Sales Assistant,I Built a 24/7 AI Sales Assistant (Free Download Inside),"This comprehensive workflow by Nolan Harper uses n8n to deliver a 24/7 AI sales assistant tailored for automating lead capture and personalized follow-up. The system integrates Google Sheets for CRM data management, HTTP nodes to invoke the Tavi API for real-time company research, and advanced AI agents (using GPT-4) to generate custom email subjects, persuasive email bodies, and SMS messages. It also leverages testimonial data and filtering techniques for optimal sales engagement. A free template is available via the AI Automation Vault.",Nolan Harper | Ai Automation,https://www.youtube.com/watch?v=1XPu71Hw_ck,https://drive.google.com/file/d/1S9X2BA_VdqYU8WuCV_ScQTlL-7HVLUXm/view?usp=drive_link,2025-05-09T20:58:42.000Z,https://www.skool.com/ai-automation-vault/classroom/69b7bb57?md=859eeb89deab4a05a77de17ee5afe5f9,1XPu71Hw_ck
Marketing & Advertising Automation,Human-In-The-Loop Automation,The Secret to Making AI Agents 100% Reliable - Human in the Loop (n8n),"This system automates a human-in-the-loop workflow for approving AI-generated social media content using a no-code environment. It integrates Telegram as the communication channel, utilizes a content creation agent powered by GPT-4.1 along with Tavly search for real-time research, and employs dynamic set nodes for iterative revisions. Built by Nate Herk, the system supports both yes/no approvals and free-text feedback for revisions. A free template to replicate this workflow is available in his Skool community.",Nate Herk | AI Automation,https://www.youtube.com/watch?v=CdnR-fNVPKI,https://drive.google.com/file/d/1f5W6h6lIphgulyZwwcuhKqSQzFCtE0P8/view?usp=drive_link,2025-05-08T23:59:04.000Z,https://www.skool.com/ai-automation-society/new-video-the-secret-to-making-ai-agents-100-reliable-in-n8n,CdnR-fNVPKI
Marketing & Advertising Automation,Contextual RAG,The EASIEST Possible Strategy for Accurate RAG (Step by Step Guide),"Cole Medin's workflow showcases a robust RAG system enhanced with contextual retrieval. The system uses Google Drive triggers, custom JavaScript for text chunking, and an additional LLM call (using cost‐efficient models like GPT 4.1 nano with prompt caching) to prepend context to each chunk. Embedded in a Neon serverless Postgres (or similar vector database), this design improves document retrieval accuracy for AI agents. The free template is available via GitHub.",Cole Medin,https://www.youtube.com/watch?v=z_LGan-t2Mo,https://drive.google.com/file/d/1Reoo3rAtAujEFVusHNbReSVE67CZuoFq/view?usp=drive_link  https://drive.google.com/file/d/1nGKHGNI94SkBdY5iS0zI4V1WfYAqfpRK/view?usp=drive_link  https://drive.google.com/file/d/1oy8QHnbYx8IkBXuyf1F3LvmYlREm_yYA/view?usp=drive_link  https://drive.google.com/file/d/1yebfm_KFgJnCctuT4hyq3G4EZ_qXFQkq/view?usp=drive_link ,2025-05-08T00:00:55.000Z,https://github.com/neondatabase-labs/mcp-server-neon,z_LGan-t2Mo
Marketing & Advertising Automation,LinkedIn Lead Automation,Hijack Viral LinkedIn Posts (No Cold DMs),"This system automates LinkedIn lead generation using a no‑code workflow that scrapes comments from viral posts and enriches contact data in Airtable. It incorporates API scrapers to fetch post details and profile information, applies LLM-based qualification for lead intent, and generates personalized DMs. Built entirely in an n8n framework by MagicOps AI, the system streamlines high intent lead capture, ensuring efficient and tailored outreach.",MagicOps AI,https://www.youtube.com/watch?v=JftnNwvagKA,https://drive.google.com/file/d/1eg3xhPiyj_95ipMDgf4om9T-HWMysO18/view?usp=drive_link,2025-05-06T13:15:03.000Z,https://gumroad.com/d/d8fbd1284e4b751321ec79c716ae45d8,JftnNwvagKA
Marketing & Advertising Automation,AI Content Idea Generator,"1,200+ Content Ideas Per Day with AI (Free Template)","This workflow automates content ideation by scraping YouTube comments via an HTTP request to an Appify actor, then processing them with AI nodes using OpenAI models. It filters and extracts comments containing content ideas, performs real-time research via a Tavi integration, and finally updates the results in Google Sheets. Built entirely in n8n with robust JSON data handling and API integrations, this free template is created by Nolan Harper.",Nolan Harper | Ai Automation,https://www.youtube.com/watch?v=Xno2IGHfSDo,https://drive.google.com/file/d/1bLDkLPbiK11yjYvcUWxLTVGZZyiHg2gM/view?usp=drive_link,2025-05-05T16:00:59.000Z,https://www.skool.com/ai-automation-vault/classroom/69b7bb57?md=90be61bf22fb45479c8f8350ab758572,Xno2IGHfSDo
Marketing & Advertising Automation,Deep Cold Email Outreach,I Deep-Personalized 1000+ Cold Emails Using THIS AI System (FREE TEMPLATE),"In this video, Nick Saraev demonstrates a comprehensive workflow that automates the personalization and sending of 1000+ cold emails using a free AI system built in n8n. The setup integrates tools like Apollo for lead data, Apify for scraping, Instantly for email delivery, and Google Sheets for data management. It employs HTTP requests, HTML extraction, markdown conversion, and OpenAI's GPT-4.1 to generate highly tailored icebreakers, making it an end-to-end, robust cold email automation system.",Nick Saraev,https://www.youtube.com/watch?v=oAWe5wFwHlo,https://drive.google.com/file/d/1mEJe6n3ohryVRm58sCBqfO5kyh-r49fb/view?usp=drive_link,2025-05-05T07:11:46.000Z,https://leftclicker.gumroad.com/l/jdvzm,oAWe5wFwHlo
Marketing & Advertising Automation,Marketing Automation Agent,This marketing agent automates EVERYTHING (free n8n template),"Rory Ridgers presents a free template for a marketing automation AI agent built in n8n. This workflow scrapes Google via Tavi and Instagram via Ampify to gather current social media and news data. Multiple LLM agents are used to summarize content, plan blog posts and social media updates, generate images through a GPT image generation API, and update results to Google Sheets and Google Drive. The system also includes integration with a custom web hook interface via Commonous Agents.",Rory Ridgers,https://www.youtube.com/watch?v=7TUPVDIcD3k,https://drive.google.com/file/d/1pLK1tuB8EOPLEeGIshFrlXGJFffduwVx/view?usp=drive_link,2025-05-04T20:36:54.000Z,https://commonous.com/templates/403904d2-4984-4636-a53d-1caf829f5082,7TUPVDIcD3k
Marketing & Advertising Automation,Agent Tracking System,How I Auto Track AI Agent Actions and Token Usage (n8n tutorial),"This system provides a comprehensive workflow to track AI agent actions and token usage within an n8n setup. The tutorial details how to log initial inputs, intermediate steps, API calls, tool integrations (such as sending emails, retrieving contacts), and error handling into a Google Sheet using JavaScript nodes. Creator Nate Herk explains both the success and error branches, detailing cost calculations and observability, and offers a free downloadable JSON template via his Skool community.",Nate Herk | AI Automation,https://www.youtube.com/watch?v=vVdS-ZEFf50,https://drive.google.com/file/d/10WibhA7rvZoFvyS3ywOK9xy9dRJvXK_p/view?usp=drive_link,2025-05-03T18:51:28.000Z,https://www.skool.com/ai-automation-society/new-video-how-i-auto-track-ai-agent-actions-and-token-usage-n8n-tutorial,vVdS-ZEFf50
Marketing & Advertising Automation,Carousel & Slides Automation,This n8n AI Agent will AUTOMATE your Carousels and Slideshows 🍄,"This system automates the creation and posting of carousels and slideshows for various social media platforms. It uses a fully configured workflow in n8n, featuring an AI agent powered by ChatGPT for generating quotes and image prompts, and integrates with the Blotato API to generate and publish content. The automation supports scheduling, structured output parsing, and multi-platform publishing including Instagram, TikTok, Twitter, and more. Creator Sabrina Ramonov offers a free template for direct import.",Sabrina Ramonov 🍄,https://www.youtube.com/watch?v=Ev3xBsldyBk,https://drive.google.com/file/d/1ScC7DzKkVN8nLUzBuf7gNedagumbCXne/view?usp=drive_link,2025-05-03T18:10:35.000Z,https://www.sabrina.dev/p/this-ai-agent-automates-slideshows-and-carousels,Ev3xBsldyBk
Marketing & Advertising Automation,Proposal Generator,My $27K/m Ai Proposal System in n8n (Free Template),"In this video, Nolan Harper demonstrates a comprehensive AI-driven proposal generator system. The workflow automates the creation of personalized sales proposals by using form triggers (via JotForm), Google Drive for template management and file conversion, and OpenAI for transcribing sales call recordings and generating dynamic content. The system integrates multiple nodes in n8n to seamlessly pull data, update documents, and send PDF proposals, all available with a free template.",Nolan Harper | Ai Automation,https://www.youtube.com/watch?v=FTaTMj0u0II,https://drive.google.com/file/d/1RFt5KLTFdzjIuhCWJ3SsxVMFNYK2Voi5/view?usp=drive_link,2025-05-02T17:25:04.000Z,https://www.skool.com/ai-automation-vault/classroom/69b7bb57?md=157ad4e2cb374a40b6985ebd9b0973a4,FTaTMj0u0II
Marketing & Advertising Automation,Google Map Scraper,Scrape Unlimited Leads WITHOUT Paying for APIs (99% FREE),"This system scrapes email leads from Google Maps using a free n8n workflow. It leverages HTTP request nodes for fetching Google Maps search results, custom JavaScript with regex (reax) for parsing URLs and emails, and filtering nodes to remove unwanted domains and duplicates. The workflow also integrates loop and wait nodes to manage rate limits and extracts data from Google Sheets. Built by Nick Saraev, it provides a comprehensive, automated lead scraping solution.",Nick Saraev,https://www.youtube.com/watch?v=OroDNJl-pyc,https://drive.google.com/file/d/1Kxsl2-sbZGKPqY_X2nluN6aujuTqbcux/view?usp=drive_link,2025-05-01T03:13:25.000Z,https://gumroad.com/d/8da9e170307de246b96a0eec93ccba6d,OroDNJl-pyc
Marketing & Advertising Automation,Dynamic AI Agent Workflow,"This AI Agent Picks Its Own Brain (10x Cheaper, n8n)","Created by Nate Herk, this no-code system uses a Slack trigger to dynamically select the best large language model based on user input. The workflow routes tasks to free or cost-effective models (e.g., Gemini 2.0 Flash, GPT 4.1 Mini, Claude 3.7 Sonnet) via OpenRouter. It integrates logging with Google Sheets and employs Superbase for RAG-based document querying, optimizing performance and cost. Free template resources are available through the Skool community.",Nate Herk | AI Automation,https://www.youtube.com/watch?v=gwCQF--cARA,https://drive.google.com/file/d/1bI39O_RM8Kq7F0zfWALQdW6DjITh6m3w/view?usp=drive_link,2025-04-30T18:54:47.000Z,https://www.skool.com/ai-automation-society/new-video-this-ai-agent-picks-its-own-brain-10x-cheaper,gwCQF--cARA
Marketing & Advertising Automation,LeadGen Outreach,Automate Lead Generation and Email Personalization in Minutes with n8n! (Free Template),"This workflow automates lead generation and personalized email outreach in a two-step process. It sources leads from Apollo via an HTTP actor (using Epifi) and filters, deduplicates, and maps data into Google Sheets before passing it to an AI agent powered by OpenAI for personalized email drafting. A schedule trigger controls email dispatch limits. Created by Mahmut Kasimoglu | AI Automation, the free template is available via his Skool community.",Mahmut Kasimoglu | AI Automation,https://www.youtube.com/watch?v=ZD2DlnuqCrA,https://drive.google.com/file/d/1ENxEyIhlHwtUCq5zyrCw6lDTFjksFlcz/view?usp=drive_link,2025-04-28T19:48:04.000Z,https://www.skool.com/business-ai-alliance/video-on-lead-generation-with-personalized-email-outreach-is-out,ZD2DlnuqCrA
Marketing & Advertising Automation,Product Videography,How I Automated Product Videography with AI (Step by Step n8n Tutorial),"This workflow automates product videography by capturing a product photo, title, description and email via a form trigger. The system uploads the image to Google Drive, then uses an AI agent (via OpenRouter with GPT-4.1) to generate a text image prompt. It processes the image with OpenAI's image edit API, converts the result and hosts it on ImageBB, and finally, uses the Runway API to generate a 10-second video before sending the outputs via Gmail. Created and demonstrated by Nate Herk, free template resources are available in his Skool community.",Nate Herk | AI Automation,https://www.youtube.com/watch?v=qV7xOEKEBDA,https://drive.google.com/file/d/1jtRDbCceuf1h6J52kU7lZJS8q1LKHusP/view?usp=drive_link,2025-04-28T18:56:18.000Z,https://www.skool.com/ai-automation-society/new-video-from-raw-photo-to-studio-ready-video-in-minutes-step-by-step-n8n-tutorial,qV7xOEKEBDA
Marketing & Advertising Automation,Cold Email Automation,"AI System Writes 10,000+ Personalized Cold Emails (Free Template)","This system is a no-code AI automation workflow for personalized cold email outreach. It scrapes prospect data using an Apollo integration, processes the data with HTTP and Google Sheets nodes, and employs an AI agent (via ChatGPT) to generate custom, human-like email icebreakers. The automation then sends the enriched leads into a cold email campaign using Instantly. Created by Nolan Harper, the template is available for free in his AI Automation Vault.",Nolan Harper | Ai Automation,https://www.youtube.com/watch?v=2Utdn12JSK4,https://drive.google.com/file/d/1SzkKEMV6mdMLltG_ZA7W0lT2lng7pszn/view?usp=drive_link,2025-04-28T17:18:16.000Z,https://www.skool.com/ai-automation-vault/classroom/69b7bb57?md=fc95cbb6156341fdb6508690124850c4,2Utdn12JSK4
Technical Infrastructure & DevOps,Lovable Web App Builder,This Lovable + n8n Hack Builds Web Apps FOR You In Minutes (No Coding),"This workflow leverages Lovable's natural language coding tool integrated within an n8n automation to create custom web applications in minutes. The system uses webhook triggers, HTML scraping for website content cleanup, and API calls like Dolly3 for image generation and OpenAI for text creation. User inputs such as company name, industry, and website URL are processed to dynamically generate tailored social media posts. The free blueprint template, provided by creator Jono Catliff, allows users to import and run the complete workflow immediately.",Jono Catliff,https://www.youtube.com/watch?v=i08K-l8pjfs,https://drive.google.com/file/d/1g1By_B5MBr1R7KDdHvN4NHAaf9Ysmi8g/view?usp=drive_link,2025-04-28T17:05:23.000Z,https://gumroad.com/d/8d04a4f048918ecb4294f34839851686,i08K-l8pjfs
Marketing & Advertising Automation,Marketing AI Team,I Built a Marketing Team with 1 AI Agent and No Code (free n8n template),"This system builds an all-in-one AI marketing team using no-code automation. The workflow integrates multiple AI agents that create and edit images, generate LinkedIn posts, blog articles, and video content automatically via a Telegram interface. It leverages OpenAI's image and editing endpoints, Google Drive and Sheets for logging, external APIs like Runway and CreativeMate for video rendering, and Flux image generation via HTTP requests. Created by Nate Herk, the video provides a free template through a Skool community resource.",Nate Herk | AI Automation,https://www.youtube.com/watch?v=ldETapkr8Hg,https://drive.google.com/file/d/1a9FskKLV_AgxUNPgb_CUOLKke97Ox3Sx/view?usp=drive_link https://drive.google.com/file/d/1WEWSJJZmMCg_Ii4U2I0fO-2xJwil_bVL/view?usp=drive_link https://drive.google.com/file/d/171-HNdf_RkGeVTZQppEANBzjRT8f42Ij/view?usp=drive_link https://drive.google.com/file/d/152aOdjNfmL--KpXTFj1m5Bw-mQkLI8N3/view?usp=drive_link https://drive.google.com/file/d/1yT36iHGZKk0mYLVvLnEgFDE87Tcr3Ore/view?usp=drive_link https://drive.google.com/file/d/1dN1KqlBJZsps_ww5sH2oSvl420AtjYY7/view?usp=drive_link https://drive.google.com/file/d/11OdlUx1lpDR57BFgWKRl0Nq795Au7f4b/view?usp=drive_link,2025-04-26T19:39:40.000Z,https://www.skool.com/ai-automation-society/new-video-i-built-a-marketing-team-with-one-ai-agent-and-no-code-free-n8n-template,ldETapkr8Hg
Content Creation & Video Automation,Faceless Video AI,This EASY AI Agent System Creates Faceless Videos on Auto Pilot! (Free n8n and Make templates 🍄),"This system automates the creation and publishing of faceless videos via an AI agent workflow. It uses an initial node to brainstorm and write video scripts, then calls a unified API to generate AI videos with voiceovers, images, and animations. The workflow further includes steps for video rendering and publishing on social media. Developed by Sabrina Ramonov, this free template integrates various AI and API services for seamless content automation.",Sabrina Ramonov 🍄,https://www.youtube.com/watch?v=0qf0blCB4Mc,https://drive.google.com/file/d/1OcC7yl7UGsEJbK2Sty0GiNxKAX0jlJX4/view?usp=drive_link  https://drive.google.com/file/d/1q6rJa6kudBtTTxeZKfwRT_F2PcTHGONa/view?usp=drive_link,2025-04-26T16:34:07.000Z,https://www.sabrina.dev/p/easy-ai-system-creates-faceless-videos-on-auto-pilot,0qf0blCB4Mc
Design & Creative Automation,Image Creation and Editing System,This n8n Agent Creates & Edits Images with OpenAI's New Image API,"This system is a complete workflow built in n8n that integrates with OpenAI's new Image API for generating and editing images via natural language prompts. It includes three subflows: one to create images using models like gpt-image-1 (with support for Dolly 2 and Dolly 3), one to edit images by referencing existing assets, and one to log details in Google Sheets. The automation features an AI agent that smartly routes commands based on context and converts images to Base64 for Google Drive storage. Created by Mark Kashef, it offers a free downloadable template for immediate use.",Mark Kashef,https://www.youtube.com/watch?v=YqEtFVAV7M8,https://drive.google.com/file/d/1-J4bR_Xx6v_eBNqLV9-dEMNf4b9qz1p2/view?usp=drive_link  https://drive.google.com/file/d/1ZPOll5ZvYVvir_84JZSaSDtWwi6nn0zr/view?usp=drive_link  https://drive.google.com/file/d/1-3_hYyaIYBZPDdLkaTVVTM4-H4Yg75ll/view?usp=drive_link  https://drive.google.com/file/d/1P1fq0hB2v2156GqlX7DEevxXkrvDOaff/view?usp=drive_link,2025-04-25T18:03:51.000Z,https://gumroad.com/d/76e31aa9467fb157c2bb4beac61d41f4,YqEtFVAV7M8
Content Creation & Video Automation,Viral Shorts Automation,I Built an AI SYSTEM For Viral Faceless Shorts (n8n),"This system is a fully automated AI pipeline designed to create viral faceless shorts. It uses scheduled triggers to pull data from Google Sheets, generate fresh content ideas through chat-based AI, and produce visuals with PI API (16:9 aspect ratio). Videos are created via runway ML (using gen3/4 models), merged with CreateTomate, and finally published on YouTube through Google Cloud's API integrations. Developed by Oleg Melnikov, the workflow is available as a free template.",Oleg Melnikov,https://www.youtube.com/watch?v=oMcLgseGER0,https://drive.google.com/file/d/1tKfWJp_sYJkF-evhwWfJ8PZtgKIKBfqV/view?usp=drive_link,2025-04-25T12:48:27.000Z,https://docs.google.com/document/d/1DYlu0RbaUv-bvBDkUZSdHDhDdrltJ6gShdIwEZwrdbc/edit?tab=t.0,oMcLgseGER0
AI Agent Development,ChatGPT Automation System,This ChatGPT SECRET Automates Nearly Everything (connect 10K+ apps with n8n),"This system integrates ChatGPT with a multi-app workflow to automate tasks such as call scheduling, invoice processing, and spreadsheet updates. It leverages free blueprints that guide users through setting up custom webhook triggers, API integrations, and a custom GPT generator. Key components include HTTP GET/POST methods, Google Sheets, and third-party API interactions, demonstrated by creator Jono Catliff.",Jono Catliff,https://www.youtube.com/watch?v=YcDLVPYIRSA,https://drive.google.com/file/d/1u7pLhTuXyh_wVFpzNMyj5n3JVEgN9lF8/view?usp=drive_link,2025-04-25T00:27:19.000Z,https://gumroad.com/d/57836896cd1d287ad408de27f74346a6,YcDLVPYIRSA
Design & Creative Automation,AI Image Automation,Use OpenAI's NEW Image Generation API with n8n to create stunning images (Step by Step Tutorial),"MagicOps AI demonstrates a workflow that connects OpenAI's new image generation API with an automation platform to create stunning visuals. The system uses HTTP request nodes to call the API, processes Base64 strings to convert images to files, and integrates Google Drive for storage. It supports both text-to-image and image-to-image transformations for generating recipe images and enhancing product photos. Free template available via Gumroad.",MagicOps AI,https://www.youtube.com/watch?v=SAUxo5fcLMs,https://drive.google.com/file/d/1t4D_qE2hlc-ao6Fi0U2Zo1L3UvLwWgA8/view?usp=drive_link,2025-04-24T13:00:31.000Z,https://gumroad.com/d/1c9cc62b035887723dd7143fa759e4d3,SAUxo5fcLMs
Business Process Automation,Customer Support Automation,Build a No-Code AI Customer Support System That ACTUALLY Works,"This video details a comprehensive no-code automation system for customer support built using n8n. The workflow integrates community posting (using Circle), a ticketing dashboard via Airtable, and an AI agent that leverages a search tool and perplexity API to provide tailored responses. The system automatically creates, updates, and resolves support tickets, ensuring efficient status tracking. Developed by Ben AI, it features HTTP webhooks, API calls, manual mapping, and automated status updates for real-time support.",Ben AI,https://www.youtube.com/watch?v=mJwZPK2A7cM,https://drive.google.com/file/d/1VVhH-po9vp3OWewlxNAuCNWnAZQD1Dmi/view?usp=drive_link,2025-04-24T05:32:46.000Z,https://bens-ai.circle.so/c/freebie-resources/ai-customer-support-ticketing-system,mJwZPK2A7cM
Design & Creative Automation,LinkedIn Visual Automation,"OpenAI's Image API Just Changed the Game (save 10+ hours/week, n8n tutorial)","In this workflow, Nate Herk demonstrates a comprehensive AI automation system for marketing on LinkedIn. The process begins with a form submission gathering email, post topic, and target audience, and then uses two AI agents: one to generate a research-backed post and another to convert it into a dynamic image prompt. The system integrates the OpenAI Image Generation API, Tavi for web search, and HTTP request tools for API calls along with binary conversion. A free template is available via his Skool community.",Nate Herk | AI Automation,https://www.youtube.com/watch?v=ACkHpQQnfxQ,https://drive.google.com/file/d/1dbB79dIiKGkotbZcPNVk4pNPoczN_vnj/view?usp=drive_link,2025-04-23T23:56:03.000Z,https://www.skool.com/ai-automation-society/new-video-openais-image-api-just-changed-the-game-save-10-hoursweek,ACkHpQQnfxQ
Business Process Automation,Job Search Automation,Automate Your Job Search With LinkedIn & n8n,"This n8n workflow automates the entire job application process on LinkedIn. It creates a custom RSS feed to pull job listings, extracts job details via HTTP requests, and employs OpenAI (using GPT models) to rate job fit and generate tailored cover letters. The workflow also updates a Google Sheet to deduplicate and store job data. Created by Jono Catliff, the system is delivered with a free blueprint template on Gumroad.",Jono Catliff,https://www.youtube.com/watch?v=dYNFqM84pSI,https://drive.google.com/file/d/1wwXndI5OydELz4rpFW4V_-Tax-y3mmir/view?usp=drive_link,2025-04-23T13:00:03.000Z,https://gumroad.com/d/6586a9922ec798c3f4ce37e03c746c8e,dYNFqM84pSI
Business Process Automation,Inbox Automation,Automate Your Inbox With n8n (No Code),"This video by Nolan Harper from the AI Automation Vault details a no-code workflow to automate email management. The system uses a Gmail trigger to monitor incoming mails, a text classifier to route emails into categories like promotions, internal, customer support, and sales, and integrates OpenAI models for drafting AI responses. It also leverages Slack for notifications and uses a free template available via the AI Automation Vault for seamless replication.",Nolan Harper | Ai Automation,https://www.youtube.com/watch?v=UDXDcFwAPQU,https://drive.google.com/file/d/17OYXI08wdcgIWDf-WqJ_v-V9AHRqBMrP/view?usp=drive_link,2025-04-21T17:00:38.000Z,https://www.skool.com/ai-automation-vault/classroom/69b7bb57?md=cd5a5ed32cbd4dda828fd2cd8c32637b,UDXDcFwAPQU
Technical Infrastructure & DevOps,Error Logger Workflow,One n8n Workflow for Unlimited Error Handling (Step-by-Step),"In this detailed video tutorial, Nate Herk from AI Automation demonstrates a precise error logging system built within n8n. The workflow uses a global error trigger that funnels errors from various active workflows into a dedicated error logger, which appends data like timestamps, workflow names, workflow URLs, node names, and error messages into a Google Sheet. It also sets up notifications via Slack and other channels. The free Google Sheet template is available by joining Nate Herk's Skool community.",Nate Herk | AI Automation,https://www.youtube.com/watch?v=bTF3tACqPRU,https://drive.google.com/file/d/1_EF3ESE9zRSrFNVgMwhMcTm23JwYzWLW/view?usp=drive_link,2025-04-20T16:52:54.000Z,https://www.skool.com/ai-automation-society/new-video-set-up-error-handling-in-9-minutes-in-n8n-step-by-step,bTF3tACqPRU
AI Agent Development,Think Tool Agent,n8n Just Dropped a Game-Changing Tool for AI Agents — Inspired by Anthropic!,"This video by Mahmut Kasimoglu explains a dedicated workflow that leverages the new Think tool – a scratchpad feature inspired by Anthropic – to enhance AI agent reasoning in multi-step processes. The system integrates a personal assistant agent that simulates tools such as email, calendar, CRM, and Slack, and employs tailored prompts and system instructions to improve execution reliability and planning. The workflow is available as a free JSON template in the free Skool community.",Mahmut Kasimoglu | AI Automation,https://www.youtube.com/watch?v=MPyQWs8dOpI,https://drive.google.com/file/d/1SNpBbNphUAmjSJRDEdJ-YO_VTkoMGJ2A/view?usp=drive_link,2025-04-19T17:23:22.000Z,https://www.skool.com/business-ai-alliance/video-on-n8ns-new-think-tool-for-ai-agents-is-out,MPyQWs8dOpI
Marketing & Advertising Automation,Meta Ad Automation,How we Automated a Meta Ad Agency with AI,"Ben AI demonstrates a comprehensive automation workflow for a meta ad agency that streamlines product research, ad angle creation, script generation, and performance tracking. The system integrates Airtable, the Facebook Graph API, Scrapfly web scraping, and AI services such as Perplexity and Google Gemini 2.5 Pro. Using webhooks and multi-phase processing in n8n, it optimizes ad campaigns by analyzing ROI, making it a powerful, fully automated solution. Template provided by Ben AI.",Ben AI,https://www.youtube.com/watch?v=Rm3ObJXsuOI,https://drive.google.com/file/d/1mkQLWY1YS59RNuFR7Q8d-GKwk34FlwQz/view?usp=drive_link,2025-04-19T06:21:26.000Z,https://bens-ai.circle.so/c/freebie-resources/inbound-sales-agent-wa-insta-fb-m-12c376,Rm3ObJXsuOI
Business Process Automation,Automated Hiring Workflow,How I Automated the Entire Hiring Process with n8n,"This system automates the entire hiring process by integrating email triggers from Indeed with Gmail, Google Sheets, and cal.com. It leverages an OpenAI agent to extract job titles from unstructured email subjects and uses custom Google Apps Script to sync candidate data while dynamically routing stages—from initial application and onboarding to screening, testing, and interview scheduling. Created by Jono Catliff, this workflow blueprint is provided as a free template.",Jono Catliff,https://www.youtube.com/watch?v=dBTrOcWkYM0,https://drive.google.com/file/d/1qm916r1TGLBihsGOGJRMx_asQVyiKprd/view?usp=drive_link,2025-04-18T23:40:40.000Z,https://gumroad.com/d/dd1eec54f82896ea873452948ed14498,dBTrOcWkYM0
Business Process Automation,Email & Complaint Automation,Don't Build Another AI Agent Until You Understand This: AI Agents vs AI Workflows ~ n8n,"In this video, Mahmut Kasimoglu demonstrates two specific n8n systems built for automation: an email labeling system and a complaint ticket processing system. Both systems show a direct comparison between an AI agent approach and an AI workflow approach. The email system uses a Gmail trigger, LLM-based classification, tool calls to get label IDs, label emails, and send notifications, while the complaint system integrates Google Sheets and email notifications. A free template for these workflows is available via his Skool community.",Mahmut Kasimoglu | AI Automation,https://www.youtube.com/watch?v=nQbd56j_dZ0,https://drive.google.com/file/d/1TDMcJcOcdzCXNFv-_T-CBNzLWli14SDD/view?usp=drive_link,2025-04-18T20:21:05.000Z,https://www.skool.com/business-ai-alliance/dont-build-another-ai-agent-until-you-understand-this-ai-agents-vs-ai-workflows-n8n,nQbd56j_dZ0
Technical Infrastructure & DevOps,MCP Integration,n8n Just Released MCP - Is It The Future of AI & No Code?,"This video demonstrates a complete MCP integration workflow that leverages a dual-flow setup with an MCP client and MCP server trigger. The system enables communication between AI agents (like Claude and OpenAI) and external tools (Google Sheets, Google Calendar) via SSE endpoints, tool discovery, and auto-generated schemas. The blueprint and free template allow users to import a ready-made automation for AI-driven tasks. Creator: Jono Catliff.",Jono Catliff,https://www.youtube.com/watch?v=Nw0v1-24x5w,https://drive.google.com/file/d/1a32FZaRDmUr8f8ah63rpl2z0cn0atbTn/view?usp=drive_link  https://drive.google.com/file/d/1PtaM-y2dzyD2JzhTecr9hNI0Q1QtwXV_/view?usp=drive_link,2025-04-18T00:39:56.000Z,https://gumroad.com/d/4a819aa5,Nw0v1-24x5w
